Key,Source,Context,Changes,English
gunTacticalARSchematic,items,Item,New,[772AB8]Tactical AR Schematic
gunTacticalARSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Steel[-]\nUnlocks: [decea3]Tactical AR[-]\n\n Reading this schematic will teach you how to build this weapon.\nTactical AR. One of the 'Dev' weapons.... shhhh, don't tell."

ammoAdvCrossbowBoltSteel,items,Ammo,New,[772AB8]Advanced Crossbow Bolt Steel
ammoAdvCrossbowBoltSteelDesc,items,Ammo,New,"Type: [decea3]Advanced Crossbow Bolt[-] [FF684F](Master Craftsman required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight Bolt."
ammoAdvCrossbowBoltSteelAP,items,Ammo,New,[772AB8]Advanced Crossbow Bolt Steel AP
ammoAdvCrossbowBoltSteelAPDesc,items,Ammo,New,"Type: [decea3]Advanced Crossbow Bolt[-] [FF684F](Master Craftsman required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight Armor Piercing Bolt."

ammoAdvCrossbowBoltSteelSH,items,Item,New,[772AB8]Advanced Crossbow Bolt (Shock)
ammoAdvCrossbowBoltSteelSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Not stable enough to bundle.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Electrified Carbon Fiber bolts for Linda's Launcher."
ammoAdvCrossbowBoltSteelBRN,items,Item,New,[772AB8]Advanced Crossbow Bolt (Burn)
ammoAdvCrossbowBoltSteelBRNDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Not stable enough to bundle.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Advanced Carbon Fiber bolts for Linda's Launcher."

ammo45ACPBulletBall,items,Item,New,[772AB8]45 ACP Ball
ammo45ACPBulletBallDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n45 ACP Ball."
ammo45ACPBulletAP,items,Item,New,[772AB8]45 ACP Bullet AP
ammo45ACPBulletAPDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n45 ACP AP (Armor Piercing)."
ammo45ACPBulletSH,items,Item,New,[772AB8]45 ACP Bullet (Shock)
ammo45ACPBulletSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n45 ACP SH(Shocking)."
ammo45ACPBulletBRN,items,Item,New,[772AB8]45 ACP Bullet (Burn)
ammo45ACPBulletBRNDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n45 ACP BRN(Incendiary)."

ammoBundle45ACPBulletBall,items,Item,New,[772AB8]45 ACP Ball Bundle
ammoBundle45ACPBulletBallDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n45 ACP Ball."
ammoBundle45ACPBulletAP,items,Item,New,[772AB8]45 ACP Bullet AP Bundle
ammoBundle45ACPBulletAPDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n45 ACP AP (Armor Piercing)."
ammoBundle45ACPBulletSH,items,Item,New,[772AB8]45 ACP Bullet Bundle (Shock)
ammoBundle45ACPBulletSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n45 ACP SH(Shocking)."
ammoBundle45ACPBulletBRN,items,Item,New,[772AB8]45 ACP Bullet Bundle (Burn)
ammoBundle45ACPBulletBRNDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n45 ACP BRN(Incendiary)."

ammo50MagnumBulletBall,items,Item,New,[772AB8]50 AE Ball
ammo50MagnumBulletBallDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n50 AE Ball."
ammo50MagnumBulletAP,items,Item,New,[772AB8]50 AE AP
ammo50MagnumBulletAPDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n50 AE AP (Armor Piercing)."
ammo50MagnumBulletSH,items,Item,New,[772AB8]50 AE Bullet (Shock)
ammo50MagnumBulletSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n50 AE SH(Shocking)."
ammo50MagnumBulletBRN,items,Item,New,[772AB8]50 AE Bullet (Burn)
ammo50MagnumBulletBRNDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n50 AE BRN(Incendiary)."

ammoBundle50MagnumBulletBall,items,Item,New,[772AB8]50 AE Ball Bundle
ammoBundle50MagnumBulletBallDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n50 AE Ball."
ammoBundle50MagnumBulletAP,items,Item,New,[772AB8]50 AE AP Bundle
ammoBundle50MagnumBulletAPDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n50 AE AP (Armor Piercing)."
ammoBundle50MagnumBulletSH,items,Item,New,[772AB8]50 AE Bullet Bundle (Shock)
ammoBundle50MagnumBulletSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n50 AE SH(Shocking)."
ammoBundle50MagnumBulletBRN,items,Item,New,[772AB8]50 AE Bullet Bundle (Burn)
ammoBundle50MagnumBulletBRNDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass/Lead[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n50 AE BRN(Incendiary)."

ammoTacticalShotgunShellSH,items,Item,New,[772AB8]Advanced Tactical Shotgun Shell (SHOCK)
ammoTacticalShotgunShellSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass/Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic/Master Craftsman[-]\n\n Advanced Tactical Shotgun Shell (SHOCK)."
ammoBundleTacticalShotgunShellSH,items,Item,New,[772AB8]Advanced Tactical Shotgun Shell Bundle (SHOCK)
ammoBundleTacticalShotgunShellSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass[-]\nUnlocked by: [decea3]Carbon Fiber Schematic/Master Craftsman[-]\n\n Advanced Bundle Tactical Shotgun Shells (SHOCK)."

ammoShawnsShotgunShellSH,items,Item,New,[772AB8]Shawns Shotgun Shell (SHOCK)
ammoShawnsShotgunShellSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Can be bundled.)[-]\nMaterial: [decea3]Brass[-]\nUnlocked by: [decea3]Carbon Fiber Schematic/Master Craftsman[-]\n\n Shawn's Shotgun Shells (SHOCK)."
ammoBundleShawnsShotgunShellSH,items,Item,New,[772AB8]Shawns Shotgun Shell Bundle (SHOCK)
ammoBundleShawnsShotgunShellSHDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Bundle count 100.)[-]\nMaterial: [decea3]Brass[-]\nUnlocked by: [decea3]Carbon Fiber Schematic/Master Craftsman[-]\n\n Advanced Bundle Shawn's Shotgun Shells (SHOCK)."

resourceCarbonFiber,items,Item,New,[772AB8]Carbon Fiber
resourceCarbonFiberDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight material."
resourceCarbonFiberSchematic,items,Item,New,[772AB8]Carbon Fiber Schematic
resourceCarbonFiberSchematicDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](This Schematic is required to build multiple items.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Rare Loot[-]\n\n A Strong lightweight material."
resourceCarbonFiberStock,items,Item,New,[772AB8]Carbon Fiber Stock
resourceCarbonFiberStockDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic/Master Craftsman[-]\n\n A Strong lightweight material."
resourceCarbonFiberGrips,items,Item,New,[772AB8]Carbon Fiber Grips
resourceCarbonFiberGripsDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic/Master Craftsman[-]\n\n Grips designed for the Desert Eagle."

resourceTacticalShotgunCasing,items,Item,New,[772AB8]Tactical Shotgun Casing
resourceTacticalShotgunCasingDesc,items,Item,New,"Type: [decea3]Advanced Brass[-] [FF684F](Forge required to build.)[-]\nMaterial: [decea3]Brass[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Tactical Shotgun Casing."
resourceShotgunSlugCF,items,Item,New,[772AB8]Tactical Shotgun Slug CF
resourceShotgunSlugCFDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Master Craftsman required to build.)[-]\nMaterial: [decea3]Brass/Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic/Master Craftsman[-]\n\n The addition of nonconductive carbon fiber keeps the electrical parts from pre-igniting the gunpowder."

resourceBrassBulletTip,items,Item,New,[772AB8]Brass Bullet Tip
resourceBrassBulletTipDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Forge required to build.)[-]\nMaterial: [decea3]Brass[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Brass Bullet Tip."

resourceShotgunCasingCF,items,Item,New,[772AB8]Shotgun Casing CF
resourceShotgunCasingCFDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Chemistry Station required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Chemistry Station[-]\n\n Shotgun Casing CF."

resourceScrapCarbonFiber,items,Item,New,[772AB8]Scrap Carbon Fiber
resourceScrapCarbonFiberDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n Scrap Carbon Fiber"

meleeKmeusKlub,items,Melee,New,[772AB8]Kmeu's Klub
meleeKmeusKlubDesc,items,Melee,New,"Type: [decea3]Advanced Melee Weapon[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Lead[-]\nUnlocked by: [decea3]Carbon Fiber Schematic/Master Craftsman[-]\n\n It's said Kmeu never went anywhere without his faithful Custom crafted club."
meleeKmeusKlubSchematic,items,Item,New,[772AB8]Kmeu's Klub Schematic
meleeKmeusKlubSchematicDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Rare Schematic.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocks: [decea3]Kmeu's Klub[-]\n\n Reading this schematic will teach you how to build this weapon.\nNot much is known about this weapon, but it's very powerful."

resourceCarbonFiberTube,items,Item,New,[772AB8]Carbon Fiber Tube
resourceCarbonFiberTubeDesc,items,Item,New,"Type: [decea3]Advanced Ammo[-] [FF684F](Chemistry Station required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Chemistry Station[-]\n\n Carbon Fiber Tube for Kmeu's Klub."
resourceBrassCore,items,Item,New,[772AB8]Brass Core
resourceBrassCoreDesc,items,Item,New,"Type: [decea3]Advanced Weapon[-] [FF684F](Forge required to build.)[-]\nMaterial: [decea3]Brass[-]\nUnlocked by: [decea3]Forge[-]\n\n Brass Core for Kmeu's Klub."

mill,blocks,Workstation,New,[772AB8]Mill
millDesc,blocks,Workstation,New,"Type: [decea3]Advanced Workstation[-] [FF684F](Advanced Engineering required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Advanced Engineering[-]\n\n This Mill can be used to create parts for weapons and tools."

toolCalipers,items,Tool,New,Calipers
toolCalipersDesc,items,Tool,New,"Type: [decea3]Mill Tool[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Mill[-]\n\n Calipers are needed for acurate milling of material."
toolTailstock,items,Tool,New,Tailstock
toolTailstockDesc,items,Tool,New,"Type: [decea3]Mill Tool[-] [FF684F](Tool And Die Set required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Mill[-]\n\n Tailstocks are usually for Lathes, but the Mill can be configured to make barrels with this tooling."

resourceCarbonFiberBillet,items,Item,New,[772AB8]Carbon Fiber Billet
resourceCarbonFiberBilletDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Chemistry Station required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Chemistry Station[-]\n\n Carbon Fiber Billet for crafting advanced weapons."
resourceCarbonFiberRoll,items,Item,New,[772AB8]Carbon Fiber Roll
resourceCarbonFiberRollDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Chemistry Station required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Chemistry Station[-]\n\n Carbon Fiber Roll."

resourceacb_boltGuide,items,Item,New,[772AB8]Carbon Fiber Bolt Guide
resourceacb_boltGuideDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Carbon Fiber Bolt Guide for Linda's Launcher."
resourceacb_cam,items,Item,New,[772AB8]Carbon Fiber Cam
resourceacb_camDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Carbon Fiber Cam for Linda's Launcher."
resourceacb_forwardAssembly,items,Item,New,[772AB8]Carbon Fiber Forward Assembly
resourceacb_forwardAssemblyDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Workbench required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Carbon Fiber Forward Assembly for Linda's Launcher."
resourceacb_forwardMount,items,Item,New,[772AB8]Carbon Fiber Forward Mount
resourceacb_forwardMountDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Carbon Fiber Forward Mount for Linda's Launcher."
resourceacb_limbs,items,Item,New,[772AB8]Carbon Fiber Limbs
resourceacb_limbsDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Carbon Fiber Limbs for Linda's Launcher."
resourceacb_stock,items,Item,New,[772AB8]Carbon Fiber Crossbow Stock
resourceacb_stockDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Carbon Fiber Crossbow Stock for Linda's Launcher."
resourceacb_string,items,Item,New,[772AB8]Crossbow String
resourceacb_stringDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Crossbow String for Linda's Launcher."

resourceDeagleBarrel,items,Item,New,[772AB8]Desert Eagle Barrel
resourceDeagleBarrelDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Tailstock required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Desert Eagle Barrel."
resourceDeagleFrame,items,Item,New,[772AB8]Desert Eagle Frame
resourceDeagleFrameDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Calipers required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Desert Eagle Frame."
resourceDeagleSlide,items,Item,New,[772AB8]Desert Eagle Slide
resourceDeagleSlideDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Calipers required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Desert Eagle Slide."

resourceShotgunBarrel,items,Item,New,[772AB8]Shotgun Barrel
resourceShotgunBarrelDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Tailstock required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Shotgun Barrel."
resourceShotgunButtstock,items,Item,New,[772AB8]Carbon Fiber Shotgun Buttstock
resourceShotgunButtstockDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Shotgun Buttstock."
resourceShotgunReceiver,items,Item,New,[772AB8]Shotgun Receiver
resourceShotgunReceiverDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\n Shotgun Receiver."

resourceThompsonBarrel,items,Item,New,[772AB8]Thompson Barrel
resourceThompsonBarrelDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\nThompson Barrel."
resourceThompsonButtstock,items,Item,New,[772AB8]Thompson Buttstock
resourceThompsonButtstockDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\nThompson Buttstock."
resourceThompsonReceiver,items,Item,New,[772AB8]Thompson Receiver
resourceThompsonReceiverDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\nThompson Receiver."
resourceThompsonForeGrip,items,Item,New,[772AB8]Thompson Fore Grip
resourceThompsonForeGripDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\nThompson Fore Grip."
resourceThompsonMagazine,items,Item,New,[772AB8]Thompson Magazine
resourceThompsonMagazineDesc,items,Item,New,"Type: [decea3]Weapon Part[-] [FF684F](Mill required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Master Craftsman[-]\n\nThompson Magazine."

perkMasterCraftsmanDesc,progression,perk Int,,,[D4AF37]Master Craftsman
perkMasterCraftsmanName,progression,perk Int,,[D4AF37]Master Craftsman,"Long years of surviving have paid off.\nUnlocked by: [FF684F]Lvl 10 Intelligence[-]"

perkMasterCraftsmanRank1Desc,progression,Perk,New,Apprentice
perkMasterCraftsmanRank1LongDesc,progression,Perk,New,"Type: [decea3]Advanced Skill[-] [FF684F](Surviving has taught you many skills.)[-]\nLevel: [decea3]1[-]\nUnlocks: [decea3]Advanced Ammunition and Material Crafting."
perkMasterCraftsmanRank2Desc,progression,Perk,New,Practitioner
perkMasterCraftsmanRank2LongDesc,progression,Perk,New,"Type: [decea3]Advanced Skill[-] [FF684F](Getting better at crafting items.)[-]\nLevel: [decea3]2[-]\nUnlocks: [decea3]Advanced Weapons and Parts."
perkMasterCraftsmanRank3Desc,progression,Perk,New,Journeyman
perkMasterCraftsmanRank3LongDesc,progression,Perk,New,"Type: [decea3]Advanced Skill[-] [FF684F](No longer a novice to crafting all types of items.)[-]\nLevel: [decea3]3[-]\nUnlocks: [decea3]Advanced Armor Piercing Ammunition."
perkMasterCraftsmanRank4Desc,progression,Perk,New,Expert
perkMasterCraftsmanRank4LongDesc,progression,Perk,New,"Type: [decea3]Advanced Skill[-] [FF684F](An Expert at crafting.)[-]\nLevel: [decea3]4[-]\nUnlocks: [decea3]Specialized Advanced Ammunition."
perkMasterCraftsmanRank5Desc,progression,Perk,New,Master Craftsman
perkMasterCraftsmanRank5LongDesc,progression,Perk,New,"Type: [decea3]Advanced Skill[-] [FF684F](You are truly a Master Craftsman.)[-]\nLevel: [decea3]5[-]\nUnlocks: [decea3]Advanced Ammunition Bundles."
